PREFERENCE,PROPERTY_TYPE,CITY,LOCALITY,TRANSACT_TYPE,OWNTYPE, PRICE_PER_UNIT_AREA ,,FURNISH,FACING,AGE,FLOOR_NUM,TOTAL_FLOOR,REGISTER_DATE,PROP_NAME,MIN_PRICE ,MAX_PRICE ,PRICE_SQFT ,,LISTING,CARPET_SQFT,SUPERBUILTUP_SQFT,BROKERAGE,MIN_AREA_SQFT, MAX_AREA_SQFT ,GROUP_NAME,AREA,PRICE,SOCIETY_NAME,BUILDING_NAME
S,Residential Apartment,Gurgaon,Sector 65 Gurgaon,1,1,18138.00,,4,5,1,9,40,"11th Sep, 2023",M3M Golfestate,61000000.00,61000000.00,18138.00,,R,2010,3363,600000.00,312.43, ? 312.43 ,SPID_GROUP_SEARCH_NORMAL,3363 sq.ft.,61000000.00,M3M Golfestate,M3M Golfestate
R,Residential Apartment,Gurgaon,Sector 61 Gurgaon,,0,31.00,,4,1,1,6,14,"10th Sep, 2023",Pioneer Park,85000.00,85000.00,31.00,,R,,2690,0.00,249.91, ? 249.91 ,SPID_GROUP_SEARCH_NORMAL,2690 sq.ft.,85000.00,Pioneer Park,Pioneer Park
S,Independent/Builder Floor,Gurgaon,Block B Sushant Lok Phase - 3,1,1,93023.00,,0,3,6,4,4,"10th Sep, 2023",,20000000.00,20000000.00,93023.00,,R,,1935,1.00,179.77, ? 179.77 ,SPID_GROUP_SEARCH_NORMAL,1935 sq.ft.,20000000.00,,
S,Residential Apartment,Gurgaon,Sector 62 Gurgaon,1,1,16550.00,,4,4,6,10,32,"09th Sep, 2023",Emaar Digihomes,42500000.00,42500000.00,16550.00,,R,1296.93,2567.89,425000.00,238.48, ? 238.48 ,SPID_GROUP_SEARCH_NORMAL,2567 sq.ft.,42500000.00,Emaar Digihomes,Emaar Digihomes
S,Residential Apartment,Gurgaon,Sector 60 Gurgaon,1,1,15158.00,,4,6,1,5,12,"09th Sep, 2023",Ireo Skyon,31000000.00,31000000.00,15158.00,,R,1289,2045,300000.00,189.99, ? 189.99 ,SPID_GROUP_SEARCH_NORMAL,2045 sq.ft.,31000000.00,Ireo Skyon,Ireo Skyon
S,Independent House/Villa,Gurgaon,Sector 37D Gurgaon,1,1,9771.00,,4,5,5,,4,"09th Sep, 2023",,15000000.00,15000000.00,9771.00,,R,1020,,150000.00,142.61, ? 142.61 ,SPID_GROUP_SEARCH_NORMAL,1535 sq.ft.,15000000.00,,
S,Independent House/Villa,Gurgaon,South City 1,1,1,36000.00,,4,3,6,,1,"08th Sep, 2023",,180000000.00,180000000.00,36000.00,,R,,,1.00,464.52, ? 464.52 ,SPID_GROUP_SEARCH_NORMAL,5000 sq.ft.,180000000.00,,
S,Residential Apartment,Gurgaon,Sector 60 Gurgaon,1,1,16117.00,,4,3,1,2,12,"06th Sep, 2023",Ireo Skyon,22000000.00,22000000.00,16117.00,,R,,1365,1.00,126.81, ? 126.81 ,SPID_GROUP_SEARCH_NORMAL,1365 sq.ft.,22000000.00,Ireo Skyon,Ireo Skyon
R,Residential Apartment,Gurgaon,Sector 60 Gurgaon,,0,29.00,,4,3,1,5,9,"06th Sep, 2023",Ireo Skyon,72000.00,72000.00,29.00,,R,,2403,0.00,223.25, ? 223.25 ,SPID_GROUP_SEARCH_NORMAL,2403 sq.ft.,72000.00,Ireo Skyon,Ireo Skyon
R,Residential Apartment,Gurgaon,Sector 113 Gurgaon ,,0,33.00,,1,5,6,8,13,"04th Sep, 2023",La Vida by Tata Housing,43500.00,43500.00,33.00,,R,950,1330,21750.00,123.56, ? 123.56 ,SPID_GROUP_SEARCH_NORMAL,1330 sq.ft.,43500.00,La Vida by Tata Housing,La Vida by Tata Housing
S,Independent House/Villa,Gurgaon,Sector 113 Gurgaon ,1,1,10500.00,,1,3,5,,15,"04th Sep, 2023",La Vida by Tata Housing,16600000.00,16600000.00,10500.00,,R,,,0.00,146.69, ? 146.69 ,SPID_GROUP_SEARCH_NORMAL,1579 sq.ft.,16600000.00,La Vida by Tata Housing,La Vida by Tata Housing
S,Independent/Builder Floor,Gurgaon,Sector 57 Gurgaon,1,1,71637.00,,4,1,6,2,4,"02nd Sep, 2023",,24500000.00,24500000.00,71637.00,,R,,3078,0.00,285.96, ? 285.96 ,SPID_GROUP_SEARCH_NORMAL,3078 sq.ft.,24500000.00,,
S,Independent/Builder Floor,Gurgaon,Sector 57 Gurgaon,1,1,73099.00,,4,1,6,1,4,"02nd Sep, 2023",,25000000.00,25000000.00,73099.00,,R,,3078,0.00,285.96, ? 285.96 ,SPID_GROUP_SEARCH_NORMAL,3078 sq.ft.,25000000.00,,
S,Independent/Builder Floor,Gurgaon,Sector 57 Gurgaon,1,1,91254.00,,4,5,6,1,4,"02nd Sep, 2023",,24000000.00,24000000.00,91254.00,,R,,2367,0.00,219.90, ? 219.90 ,SPID_GROUP_SEARCH_NORMAL,2367 sq.ft.,24000000.00,,
S,Independent/Builder Floor,Gurgaon,Sector 57 Gurgaon,1,1,92391.00,,4,5,6,4,4,"02nd Sep, 2023",,17000000.00,17000000.00,92391.00,,R,,1656,0.00,153.85, ? 153.85 ,SPID_GROUP_SEARCH_NORMAL,1656 sq.ft.,17000000.00,,
S,Independent/Builder Floor,Gurgaon,Sector 57 Gurgaon,1,1,95588.00,,4,5,6,4,4,"02nd Sep, 2023",,19500000.00,19500000.00,95588.00,,R,,1836,0.00,170.57, ? 170.57 ,SPID_GROUP_SEARCH_NORMAL,1836 sq.ft.,19500000.00,,
S,Independent/Builder Floor,Gurgaon,Sector 57 Gurgaon,1,1,96491.00,,4,5,6,1,4,"02nd Sep, 2023",Sector 57,33000000.00,33000000.00,96491.00,,R,,3078,0.00,285.96, ? 285.96 ,SPID_GROUP_SEARCH_NORMAL,3078 sq.ft.,33000000.00,Sector 57,Sector 57
R,Residential Apartment,Gurgaon,Sector 74 Gurgaon,,0,32.00,,4,3,6,9,30,"28th Sep, 2023",M3M Skywalk,65000.00,65000.00,32.00,,R,,2000,65000.00,185.81, ? 185.81 ,SPID_GROUP_SEARCH_NORMAL,2000 sq.ft.,65000.00,M3M Skywalk,M3M Skywalk
S,Residential Apartment,Gurgaon,Sector 59 Gurgaon,1,1,14290.00,,4,1,1,4,11,"31st Aug, 2023",Raisina Residency,42500000.00,42500000.00,14290.00,,R,,2974,1.00,276.29, ? 276.29 ,SPID_GROUP_SEARCH_NORMAL,2974 sq.ft.,42500000.00,Raisina Residency,Raisina Residency
S,Residential Apartment,Gurgaon,Sector 62 Gurgaon,1,1,14839.00,,4,5,2,8,25,"31st Aug, 2023",Conscient Heritage One,37500000.00,37500000.00,14839.00,,R,,2527,1.00,234.77, ? 234.77 ,SPID_GROUP_SEARCH_NORMAL,2527 sq.ft.,37500000.00,Conscient Heritage One,Conscient Heritage One
S,Residential Apartment,Gurgaon,Sector 37C Gurgaon,1,1,8173.00,,0,1,5,7,20,"28th Aug, 2023",ILD Grand,12260000.00,12260000.00,8173.00,,R,1500,1790,0.00,166.30, ? 166.30 ,SPID_GROUP_SEARCH_NORMAL,1790 sq.ft.,12300000.00,ILD Grand,ILD Grand
R,Residential Apartment,Gurgaon,Sector 62 Gurgaon,,0,58.00,,4,5,1,7,34,"28th Aug, 2023",Pioneer Araya,250000.00,250000.00,58.00,,R,,4280,0.00,397.62, ? 397.62 ,SPID_GROUP_SEARCH_NORMAL,4280 sq.ft.,25000000.00,Pioneer Araya,Pioneer Araya
S,Residential Apartment,Gurgaon,Sector 53 Gurgaon,1,1,16753.00,,4,5,2,3,18,"28th Aug, 2023",Parsvnath Exotica,48500000.00,48500000.00,16753.00,,R,,2895,1.00,268.95, ? 268.95 ,SPID_GROUP_SEARCH_NORMAL,2895 sq.ft.,48500000.00,Parsvnath Exotica,Parsvnath Exotica
S,Residential Apartment,Gurgaon,Sector 53 Gurgaon,1,1,17098.00,,4,5,2,4,18,"28th Aug, 2023",Parsvnath Exotica,49500000.00,49500000.00,17098.00,,R,,2895,1.00,268.95, ? 268.95 ,SPID_GROUP_SEARCH_NORMAL,2895 sq.ft.,49500000.00,Parsvnath Exotica,Parsvnath Exotica
R,Residential Apartment,Gurgaon,Sector 62 Gurgaon,,0,31.00,,4,5,1,9,25,"26th Aug, 2023",Conscient Heritage One,62000.00,62000.00,31.00,,R,,1996,0.00,185.43, ? 185.43 ,SPID_GROUP_SEARCH_NORMAL,1996 sq.ft.,62000.00,Conscient Heritage One,Conscient Heritage One
R,Residential Apartment,Gurgaon,Sector 62 Gurgaon,,0,29.00,,4,5,1,11,25,"26th Aug, 2023",Conscient Heritage One,75000.00,75000.00,29.00,,R,,2527,0.00,234.77, ? 234.77 ,SPID_GROUP_SEARCH_NORMAL,2527 sq.ft.,75000.00,Conscient Heritage One,Conscient Heritage One
S,Residential Apartment,Gurgaon,Sector 28 Gurgaon,1,1,13937.00,,4,4,1,2,12,Yesterday,Suncity Essel Towers,36000000.00,36000000.00,13937.00,,R,2350,2583,1.00,239.97, ? 239.97 ,SPID_GROUP_SEARCH_NORMAL,2583 sq.ft.,36000000.00,Suncity Essel Towers,Suncity Essel Towers
S,Residential Apartment,Gurgaon,Sector 67 Gurgaon,1,1,15646.00,,4,5,1,3,51,"08th Sep, 2023",Ireo Victory Valley,23000000.00,23000000.00,15646.00,,R,,1470,1.00,136.57, ? 136.57 ,SPID_GROUP_SEARCH_NORMAL,1470 sq.ft.,23000000.00,Ireo Victory Valley,Ireo Victory Valley
S,Residential Apartment,Gurgaon,Sector 54 Gurgaon,1,1,23913.00,,1,5,1,25,30,"26th Aug, 2023",DLF Park Place,55000000.00,55000000.00,23913.00,,R,,2300,1.00,213.68, ? 213.68 ,SPID_GROUP_SEARCH_NORMAL,2300 sq.ft.,55000000.00,DLF Park Place,DLF Park Place
S,Residential Apartment,Gurgaon,Sector 113 Gurgaon ,1,1,12500.00,,0,0,5,11,28,"15th Sep, 2023",M3M Capital,32125000.00,32125000.00,12500.00,,R,2570,,0.00,238.76, ? 238.76 ,SPID_GROUP_SEARCH_NORMAL,2570 sq.ft.,32100000.00,M3M Capital,M3M Capital
S,Residential Apartment,Gurgaon,Sector 113 Gurgaon ,1,1,12500.00,,0,0,5,11,28,"15th Sep, 2023",M3M Capital,31375000.00,31375000.00,12500.00,,R,2510,,0.00,233.19, ? 233.19 ,SPID_GROUP_SEARCH_NORMAL,2510 sq.ft.,31400000.00,M3M Capital,M3M Capital
S,Residential Apartment,Gurgaon,Sector 106 Gurgaon,1,1,15500.00,,4,3,5,10,38,"15th Sep, 2023",Elan The Mark,42113500.00,42113500.00,15500.00,,R,2717,,0.00,252.42, ? 252.42 ,SPID_GROUP_SEARCH_NORMAL,2717 sq.ft.,42100000.00,Elan The Mark,Elan The Mark
S,Residential Apartment,Gurgaon,Sector 106 Gurgaon,1,1,15500.00,,4,3,5,9,38,"26th Aug, 2023",Elan The Mark,40300000.00,40300000.00,15500.00,,R,2600,,0.00,241.55, ? 241.55 ,SPID_GROUP_SEARCH_NORMAL,2600 sq.ft.,40300000.00,Elan The Mark,Elan The Mark
S,Residential Apartment,Gurgaon,Sector 113 Gurgaon ,1,1,11396.00,,0,3,5,8,36,"25th Aug, 2023",M3M Capital,18975000.00,18975000.00,11396.00,,R,1665,,0.00,154.68, ? 154.68 ,SPID_GROUP_SEARCH_NORMAL,1665 sq.ft.,19000000.00,M3M Capital,M3M Capital
